Titre,Entreprise,Localisation,Salaire,Contrat,Note_entreprise
Formation de reconversion ingénieur en informatique (H/F),Credit Mutuel,Strasbourg,€36K - €40K(Employer est.),CDI,3.9
Ingénieur Junior H/F,Cloud Factory Business Services,Nanterre,€35K - €40K(Employer est.),CDI,Non spécifié
Ingénieur en système d'information,Avenir Business Ressource,Télétravail,€35K(Employer est.),CDI,Non spécifié
Ingénieur en Automatisme/Informatique Industrielle F/H,Framatome,Romans-sur-Isère,€40K - €55K(Employer est.),CDI,4.0
Ingénieur·e en informatique industrielle,Attineos,Évreux,€32K - €36K(Employer est.),CDI,4.3
"Ingénieur en virtualisation, stockage et sauvegarde",Cost Solutions,Paris,€75K - €85K(Employer est.),CDI,Non spécifié
Ingénieur en automatisme et informatique industrielle H/F,Toyota Motor Manufacturing France,Onnaing,Non spécifié,CDI,4.0
Ingénieur d'affaires en informatique IT H/F,UTIGROUP PARIS,Levallois-Perret,€36K - €40K(Employer est.),CDI,3.2
Ingénieur en instrumention expérimenté - Dunkerque H/F,Capgemini Engineering,France,Non spécifié,CDI,3.5
Ingénieur en informatique industrielle (H/F),SparkyFlow,Taverny,€45K - €50K(Employer est.),CDI,Non spécifié
Ingénieur en informatique H/F,TEA,Vandoeuvre-lès-Nancy,Non spécifié,CDI,3.3
Ingénieure / Ingénieur opérations cybersécurité,Framatome,Massy,€45K - €55K(Employer est.),CDI,4.0
Ingénieur Test Système junior H/F,STEP UP,Eybens,€35K - €40K(Employer est.),CDI,4.0
Ingénieur.e infrastructure sécurité,CIRAD,Paris,€31K(Employer est.),CDI,3.8
Ingénieur virtualisation stockage H/F,Groum K,Puteaux,€63K - €83K(Employer est.),CDI,Non spécifié
Ingénieur Cybersécurité - Aix-en-Provence (H/F),MCA GROUPE,Aix-en-Provence,Non spécifié,CDI,3.7
Ingénieur en Physique Médicale (H/F),BIOMEDIQA,Paris,€30K(Employer est.),CDI,3.0
INGENIEUR EN INFORMATIQUE INDUSTRIELLE (H/F),INENTECH,Verrières-le-Buisson,€40K - €50K(Employer est.),CDI,Non spécifié
Ingénieur Fonctionnel Activ-Infinite H/F,Activus Group,Télétravail,€40K - €60K(Employer est.),CDI,2.4
Ingénieur Cybersécurité,Arsium,Villeurbanne,€45K - €55K(Employer est.),CDI,Non spécifié
Ingénieur(e) Cloud Junior,NOVA Technology,Strasbourg,€30K - €40K(Employer est.),CDI,3.3
Ingénieur Support Technique H/F,INFORMADIS HIBGEST,Les Ulis,€50K(Employer est.),CDI,4.0
Ingénieur(e) Projet En Informatique Industrielle H/F,Ekium,Martigues,Non spécifié,CDI,3.5
INGÉNIEUR CHIFFRAGE EN INFORMATIQUE INDUSTRIELLE,Equans,Le Bourget-du-Lac,Non spécifié,CDI,3.6
Ingénieur en informatique industrielle F/H,Cogelec,Mortagne-sur-Sèvre,€38K - €48K(Employer est.),CDI,4.3
Ingénieur Sécurité RUN Junior,TDS,Montreuil,€31K - €43K(Employer est.),CDI,3.4
Ingénieur Exploitation junior H/F,PAPREC,Saint-Benoît-la-Forêt,Non spécifié,CDI,3.3
Ingénieur informatique en prestation de services (ESN),Tana-Tech,Bordeaux,€34K - €50K(Employer est.),CDI,Non spécifié
Ingénieur Sécurité H/F,ATLANSE,Rueil-Malmaison,€50K - €60K(Employer est.),CDI,3.8
Ingénieur R&D en Sécurité fonctionnelle (Functional Safety),Secure IC,Rennes,Non spécifié,CDI,3.8
Ingénieur en électronique et informatique industrielle H/F,SATT AxLR,Montpellier,Non spécifié,CDD,4.2
Ingénieur/e en informatique décisionnelle,Inria,Talence,Non spécifié,CDD,4.3
Ingénieur en informatique dans l'expérience LHCb LPNHE/CPPM (H/F),CNRS,Paris,€3K - €4K(Employer est.),CDD,3.9
Technicien-électroacousticien ou Ingénieur Électronicien Audio HiFi (H/F),La Boite Concept,Soorts-Hossegor,€23K - €44K(Employer est.),CDD,Non spécifié
Ingénieur en cybersécurité H/F,ROAV7,Le Havre,€2K(Employer est.),CDD,5.0
Ingénieur en informatique: Développer et fournir de formation d'utilisateur sur une infrastructure scientifique. (H/F),CNRS,Valbonne,€2K(Employer est.),CDD,3.9
Ingénieur Système H/F,URSSAF CAISSE NATIONALE,Montreuil,Non spécifié,CDD,3.6
Ingénieur(e) R&D logiciel système embarqué,LPCA,Montluçon,Non spécifié,CDD,Non spécifié
Ingénieur.e Sécurité (F.H),GIRPI,Harfleur,Non spécifié,CDD,3.9
MN2S : Ingénieur système mécatronique R&D,FEMTO-ST,Besançon,€2K - €3K(Employer est.),CDD,4.4
Ingénieur cyberprotection - H/F,Armée de l'Air et de l'Espace,Lyon,€2K - €4K(Employer est.),CDD,4.0
Ingénieur-e DataOps pour un Système d’Information en agroécologie,INRAE,Dijon,€2K(Employer est.),CDD,4.0
Ingénieur(e) Sécurité Mainframe,Ciorane,Courbevoie,€55K - €57K(Employer est.),CDD,4.1
Ingénieur.e support - Centre Inria de l'Université de Lille - DSI-CDS (H/F),Inria,Lille,Non spécifié,CDD,4.3
Ingénieur logiciel cloud e-santé H/F,Agicia,Damrémont,€40K - €55K(Employer est.),CDD,Non spécifié
Ingénieur de recherche administrateur système DevOps & Sécurité H/F,CNRS,Gif-sur-Yvette,€3K - €4K(Employer est.),CDD,3.9
Ingénieur de formation H/F,UNIVERSITE DE REIMS CHAMPAGNE ARDENNE,Reims,Non spécifié,CDD,3.6
Ingénieur(e) Application et Support F/H V.I.E. – Etats-Unis (Boston),Imagine Optic,Orsay,€4K(Employer est.),CDD,4.0
[UT] Ingénieur Système (H/F),Université fédérale Toulouse Midi-Pyrénées,Toulouse,Non spécifié,CDD,3.5
[UT] Ingénieur Cloud (H/F),Université fédérale Toulouse Midi-Pyrénées,Toulouse,Non spécifié,CDD,3.5
Ingénieur Sécurité Opérationnelle H/F,Direction du Système d'Information de la Polynésie française,France,€3K(Employer est.),CDD,Non spécifié
Ingénieur(e) IAM H/F,L'École polytechnique,Palaiseau,Non spécifié,CDD,4.1
Ingénieur(e) Infrastructure Citrix AW,Ciorane,Paris,€40K - €48K(Employer est.),CDD,4.1
Ingénieur(e) d'exploitation Kubernetes senior,Ciorane,Paris,€60K - €65K(Employer est.),CDD,4.1
INGENIEUR SYSTEME INFRASTRUCTURE,Centre Hospitalier Sud Francilien,Corbeil-Essonnes,Non spécifié,CDD,3.8
Responsable du département infrastructures (H/F) - Ingénieur Hospitalier [40229],CHU de Besançon,Besançon,Non spécifié,CDD,3.2
INGÉNIEUR ARCHITECTE INFRASTRUCTURE SI RECHERCHE (H/F) (Nouvelle fenêtre),POLE DIRECTION,Bron,Non spécifié,CDD,3.6
Ingénieur.e Système DevOps Production H/F,AMUE,Montpellier,Non spécifié,CDD,2.9
Ingénieur support acquisition d'équipements microélectronique H/F,CEA,Grenoble,Non spécifié,CDD,4.1
"Data Engineer AWS, Docker, K8S, Terraform, Microservices, Python - Paris",Espritek,Paris,€9K - €11K(Employer est.),CDD,Non spécifié
Ingénieur en Intelligence Artificielle (H/F),Dedienne Aerospace,Toulouse,Non spécifié,CDI,2.9
Ingénieur Informatique spécialisé en Intelligence Artificielle (IA),NOVA PAGE,Montauban,Non spécifié,CDI,Non spécifié
Ingénieur de Recherche en Intelligence Artificielle de Confiance F/H,Safran,Magny-les-Hameaux,Non spécifié,CDI,3.9
Data Scientist spécialisé(e) en Intelligence Artificielle (IA) - MedTech,Mothair,Marseille,€40K - €80K(Employer est.),CDI,Non spécifié
Ingénieur en Intelligence Artificielle (H/F),DEDIENNE AEROSPACE,Toulouse,€35K - €45K(Employer est.),CDI,5.0
Ingénieur-Recherche en Intelligence Artificielle (H/F),l'ENTREPRISE,Grenoble,Non spécifié,CDI,5.0
Ingénieur Intelligence Artificielle Générative H/F,SOLYSTIC,Alixan,€47K - €60K(Employer est.),CDI,3.0
"Ingénieur Signal, Image & Intelligence Artificielle (H/F)",Noveltis,Labège,Non spécifié,CDI,3.7
"Ingénieur.e R&D en Automatique, Contrôle commande, Mathématiques Appliquées F/H",Safran,Massy,Non spécifié,CDI,3.9
Ingénieur R&D junior en deep learning (H/F),Smartpoint,Paris,Non spécifié,CDI,3.9
Ingénieur en Intelligence Artificielle (H/F),DEDIENNE AEROSPACE,Saint-Juéry,€35K - €45K(Employer est.),CDI,2.9
Ingénieur-e en conception électronique F/H,Safran,Massy,Non spécifié,CDI,3.9
Ingénieur en données H/F,VIVERIS,Grenoble,€35K - €45K(Employer est.),CDI,3.6
Ingénieur Intelligence Artificielle Générative H/F,SOLYSTIC,Valence,€45K - €60K(Employer est.),CDI,3.0
Ingénieur Instrumentation en nanométrologie (H/F),LNE,Paris,Non spécifié,CDI,3.6
Ingénieur en validation et vérification FPGA F/H,Safran,Éragny,Non spécifié,CDI,3.9
Ingénieur en conception mécanique F/H,Safran,Éragny,Non spécifié,CDI,3.9
Ingénieur Full Stack en Intelligence Artificielle (H/F),l'ENTREPRISE,Grenoble,Non spécifié,CDI,5.0
Ingénieur DevOps H/F,TimTek,Lyon,€37K - €45K(Employer est.),CDI,3.3
Ingénieur évaluation robotique / IA embarquée H/F,LNE,Paris,Non spécifié,CDI,3.6
Ingénieur Projet H/F,FONCTION:SUPPORT,Grenoble,€28K - €33K(Employer est.),CDI,4.9
Ingénieur d'études électroniques de mise en oeuvre senseurs inertiels F/H,Safran,Éragny,Non spécifié,CDI,3.9
Ingénieur en développement logiciel H/F,Seenovate,Bordeaux,€43K - €47K(Employer est.),CDI,3.6
Docteure / Docteur en intelligence artificielle au service de l'environnement,Capgemini Engineering,Paris,Non spécifié,CDI,3.5
Ingénieur de recherche - Vision artificielle H/F,IRT Railenium,Saint-Denis,€35K(Employer est.),CDI,3.5
Ingénieur Logiciel Robotique F/H,Safran,Massy,Non spécifié,CDI,3.9
Ingénieur-e Supply Chain stocks et en-cours F/H,Safran,Montluçon,Non spécifié,CDI,3.9
Ingénieur-e en Mécatronique F/H,Safran,Issoudun,Non spécifié,CDI,3.9
Ingénieur informatique H/F,ideal systeme,Estrablin,€28K - €40K(Employer est.),CDI,Non spécifié
CDI - Ingénieur Intelligence Drone Embarquée H/F,Naval Group,Saint-Tropez,Non spécifié,CDI,4.1
Ingénieur informatique/robotique en Architecture Logicielle et Intégration,Inria,Talence,€3K(Employer est.),CDD,4.3
Ingénieur/e en informatique décisionnelle,Inria,Talence,Non spécifié,CDD,4.3
Ingénieur IA (H/F),CHRU de Brest,Brest,Non spécifié,CDD,3.1
Expert en Intelligence Artificielle embarquée - F/H,Civils de la Défense,Bruz,Non spécifié,CDD,4.2
Expert en Intelligence Artificielle Optimisation et multi-agents - F/H,Civils de la Défense,Bruz,Non spécifié,CDD,4.2
Ingénieur scientifique contractuel / Cryptographie historique,Inria,Villers-lès-Nancy,€3K(Employer est.),CDD,4.3
Ingénieur Python NLP pour une application de fact-checking,Inria,Palaiseau,Non spécifié,CDD,4.3
Ingénieur en Perception Visuelle et Intégration,Inria,Talence,€3K(Employer est.),CDD,4.3
Ingénieur.e 4.0 (H/F),Université d'Evry,Évry,Non spécifié,CDD,3.7
"Apprentissage, classification d’images et Intelligence Artificielle générative pour l’aide au diagnostic du mélanome à partir d’images de cartographie corporelle","Laboratoire LIS, UMR 7020",Marseille,€550(Employer est.),CDD,4.1
CDD Ingénieur en électronique mixte analogique/numérique - capteurs inertiels hautes performances H/F,CEA,Grenoble,Non spécifié,CDD,4.1
Ingénieur Logiciel IA F/H,Aix-Marseille Université,Marseille,Non spécifié,CDD,3.6
